,name,standard_dev_total_times
0,default,0.0
1,spark.executor.cores,0.014261660569148986
2,spark.executor.memory,0.012283117408417232
3,spark.executor.instances,0.01712294805898816
4,spark.driver.cores,0.039250841619467465
5,spark.driver.memory,0.004181468775281601
6,spark.reducer.maxSizeInFlight,0.017870752677567242
7,spark.shuffle.compress,0.0
8,spark.shuffle.spill.compress,0.0
9,spark.shuffle.file.buffer,0.011518675055208491
10,spark.broadcast.blockSize,0.01582868533379153
11,spark.broadcast.compress,0.0
12,spark.memory.fraction,0.017805163021751995
13,spark.rpc.message.maxSize,0.01893709899549874
14,spark.rdd.compress,0.0
15,spark.io.compression.codec,0.0
16,spark.sql.shuffle.partitions,0.014259944736842644
17,spark.default.parallelism,0.013137866223743747
18,spark.memory.storageFraction,0.005912785567100941
