,Parameter Settings,Name,Median (s),Minimum (s),Q1 (s),Q3 (s),Maximum (s),Range (max-min),Average (s),Standard Deviation,N (num samples)
0,"('4m', 'true', '200', '1', '1g', '1', '2', '1g', 'lz4', '0.6', '0.5', 'false', '48m', '128', 'true', '32k', 'true', '100', '1')",default,494.81060123443604,452.9363751411438,477.4937036037445,500.71231603622437,508.04672479629517,55.11034965515137,487.4579629216875,18.895518900480873,7
1,"('14m', 'false', '20', '3', '4g', '8', '8', '4g', 'snappy', '0.8', '0.7', 'true', '80m', '192', 'false', '48k', 'false', '50', '1')",hand_tuning1,427.7355111837387,412.70074915885925,425.3903632760048,432.92154759168625,441.4857773780823,28.785028219223022,428.15273710091907,8.833111306134999,6
2,"('24m', 'false', '60', '3', '4g', '3', '8', '7g', 'snappy', '0.5', '0.6', 'true', '72m', '224', 'false', '32k', 'false', '80', '1')",hand_tuning2,454.5707343816757,416.3707218170166,436.90707206726074,458.35058760643005,467.82496976852417,51.45424795150757,447.3278139432271,17.73041940581124,6
3,"('6m', 'false', '60', '3', '4g', '3', '7', '1g', 'snappy', '0.6', '0.4', 'true', '64m', '192', 'true', '96k', 'true', '60', '1')",random_search,440.3079364299774,406.61336159706116,426.28511679172516,448.01149559020996,448.8233916759491,42.21003007888794,434.7071363925934,15.56687909804201,6
4,"('6m', 'false', '100', '3', '4g', '3', '7', '1g', 'snappy', '0.6', '0.3', 'true', '56m', '128', 'true', '96k', 'true', '70', '1')",markov1,455.99014484882355,418.25316643714905,430.3945235013962,459.1377736926079,469.665048122406,51.41188168525696,446.9913562138875,19.458673315583663,6
5,"('6m', 'false', '60', '3', '4g', '1', '7', '1g', 'snappy', '0.8', '0.4', 'true', '48m', '224', 'true', '96k', 'true', '70', '1')",markov2,434.29053604602814,412.80444288253784,423.6041866540909,441.2598522901535,455.7169518470764,42.912508964538574,433.45458245277405,14.076052230711083,6
6,"('6m', 'false', '60', '3', '4g', '1', '8', '1g', 'snappy', '0.6', '0.3', 'true', '56m', '192', 'true', '112k', 'true', '50', '1')",markov3,441.24150466918945,411.22758388519287,419.7028860449791,446.67683613300323,450.9391837120056,39.711599826812744,434.27695612112683,15.900206229194973,6
7,"('8m', 'false', '100', '2', '4g', '1', '6', '1g', 'snappy', '0.5', '0.4', 'true', '48m', '256', 'true', '112k', 'true', '70', '1')",markov4,446.3179576396942,417.8463373184204,428.751048207283,449.5962924361229,471.47272205352783,53.62638473510742,442.5899095137914,17.755282325486977,6
8,"('6m', 'false', '60', '4', '4g', '4', '8', '1g', 'snappy', '0.7', '0.4', 'true', '64m', '128', 'true', '96k', 'true', '50', '1')",markov5,443.83449447155,414.5131585597992,442.53255730867386,447.2928055524826,450.80032181739807,36.28716325759888,440.5877705812454,12.035477359284796,6
9,"('6m', 'false', '60', '3', '4g', '4', '7', '1g', 'snappy', '0.7', '0.4', 'true', '80m', '160', 'true', '64k', 'true', '60', '1')",markov6,441.1372072696686,409.1468789577484,435.35405802726746,444.7200319170952,465.9093568325043,56.76247787475586,439.44521645704907,16.80508578213252,6
10,"('22m', 'true', '100', '3', '4g', '2', '5', '8g', 'snappy', '0.4', '0.5', 'false', '80m', '160', 'true', '32k', 'false', '120', '1')",random_forest1,470.99129581451416,429.32559418678284,463.2737387418747,476.30216789245605,478.26417779922485,48.93858361244202,464.7243403196335,16.846163980486217,6
11,"('6m', 'true', '300', '1', '2g', '6', '3', '7g', 'lz4', '0.7', '0.8', 'false', '56m', '160', 'true', '48k', 'true', '70', '1')",random_forest2,475.445081949234,442.7745797634125,468.78546667099,482.76316183805466,524.4015786647797,81.62699890136719,478.3057398398717,24.47091231639999,6
12,"('14m', 'true', '260', '4', '4g', '3', '6', '1g', 'snappy', '0.5', '0.5', 'false', '80m', '256', 'false', '96k', 'false', '120', '1')",random_forest3,505.74800050258636,449.8072602748871,492.8623034954071,517.2249133586884,518.4073138237,68.60005354881287,498.22136620680493,24.19485924391692,6
13,"('4m', 'false', '380', '2', '2g', '2', '7', '4g', 'snappy', '0.7', '0.3', 'true', '80m', '192', 'false', '112k', 'true', '70', '1')",random_forest4,495.9563937187195,440.14741492271423,474.3823634982109,499.46950167417526,520.3340883255005,80.18667340278625,486.70430807272595,25.857836840991492,6
14,"('24m', 'true', '180', '3', '3g', '5', '6', '4g', 'lz4', '0.7', '0.5', 'false', '88m', '160', 'true', '48k', 'true', '120', '1')",random_forest5,479.25858891010284,447.21175026893616,467.91130751371384,488.2957446575165,508.95537543296814,61.74362516403198,478.35355230172473,19.360664690396543,6
