,Parameter Settings,Name,Median (s),Minimum (s),Q1 (s),Q3 (s),Maximum (s),Range (max-min),Average (s),Standard Deviation,N (num samples)
0,"('4m', 'true', '200', '1', '1g', '1', '2', '1g', 'lz4', '0.6', '0.5', 'false', '48m', '128', 'true', '32k', 'true', '100', '1')",default,346.0459294319153,333.41850996017456,340.7552242279053,348.1314582824707,354.78420543670654,21.365695476531982,344.17802725897894,6.635114124724368,9
1,"('14m', 'false', '20', '3', '4g', '8', '8', '4g', 'snappy', '0.8', '0.7', 'true', '80m', '192', 'false', '48k', 'false', '50', '1')",hand_tuning1,299.4714136123657,290.80093789100647,294.5251522064209,301.5707211494446,303.36981320381165,12.568875312805176,298.28150672382776,4.090316989173547,9
2,"('24m', 'false', '60', '3', '4g', '3', '8', '7g', 'snappy', '0.5', '0.6', 'true', '72m', '224', 'false', '32k', 'false', '80', '1')",hand_tuning2,302.5237846374512,290.6989908218384,297.47800159454346,304.00059938430786,309.53680968284607,18.83781886100769,300.97638909022015,5.189463962898285,9
3,"('6m', 'false', '60', '3', '4g', '3', '7', '1g', 'snappy', '0.6', '0.4', 'true', '64m', '192', 'true', '96k', 'true', '60', '1')",random_search,297.6771116256714,290.19210052490234,294.08446764945984,299.32151556015015,302.4185609817505,12.226460456848145,296.37744900915357,3.956799898281776,9
4,"('6m', 'false', '100', '3', '4g', '3', '7', '1g', 'snappy', '0.6', '0.3', 'true', '56m', '128', 'true', '96k', 'true', '70', '1')",markov1,303.3270628452301,296.2213714122772,299.3820128440857,308.1896708011627,311.66579580307007,15.444424390792847,303.45672639211017,5.098150281519494,9
5,"('6m', 'false', '60', '3', '4g', '1', '7', '1g', 'snappy', '0.8', '0.4', 'true', '48m', '224', 'true', '96k', 'true', '70', '1')",markov2,297.5507185459137,291.01283383369446,296.7436501979828,298.32097601890564,300.0471570491791,9.03432321548462,296.7666099601322,2.9546956518252463,9
6,"('6m', 'false', '60', '3', '4g', '1', '8', '1g', 'snappy', '0.6', '0.3', 'true', '56m', '192', 'true', '112k', 'true', '50', '1')",markov3,295.0114653110504,288.89055609703064,293.19857001304626,295.9256942272186,296.620014667511,7.729458570480347,294.1409345467885,2.4262846607898267,9
7,"('8m', 'false', '100', '2', '4g', '1', '6', '1g', 'snappy', '0.5', '0.4', 'true', '48m', '256', 'true', '112k', 'true', '70', '1')",markov4,304.09517097473145,291.14542531967163,302.5975458621979,306.0513229370117,310.466433763504,19.321008443832397,303.06483059459265,5.589555286468528,9
8,"('6m', 'false', '60', '4', '4g', '4', '8', '1g', 'snappy', '0.7', '0.4', 'true', '64m', '128', 'true', '96k', 'true', '50', '1')",markov5,296.8964612483978,290.19190096855164,294.616605758667,297.1156783103943,299.1230936050415,8.931192636489868,295.6917676130931,2.6560239723748422,9
9,"('6m', 'false', '60', '3', '4g', '4', '7', '1g', 'snappy', '0.7', '0.4', 'true', '80m', '160', 'true', '64k', 'true', '60', '1')",markov6,295.2634551525116,289.8447608947754,290.84709453582764,301.1822669506073,304.00863432884216,14.163873434066772,295.8636389573415,5.008615934366803,9
10,"('22m', 'true', '100', '3', '4g', '2', '5', '8g', 'snappy', '0.4', '0.5', 'false', '80m', '160', 'true', '32k', 'false', '120', '1')",random_forest1,309.60591220855713,305.52129554748535,308.65198397636414,315.7507212162018,320.67909359931946,15.157798051834106,311.4436415036519,4.8246486857278565,9
11,"('6m', 'true', '300', '1', '2g', '6', '3', '7g', 'lz4', '0.7', '0.8', 'false', '56m', '160', 'true', '48k', 'true', '70', '1')",random_forest2,324.6888213157654,309.5018401145935,318.3991355895996,330.385892868042,333.3006591796875,23.798819065093994,323.22326914469403,7.822764902314603,9
12,"('14m', 'true', '260', '4', '4g', '3', '6', '1g', 'snappy', '0.5', '0.5', 'false', '80m', '256', 'false', '96k', 'false', '120', '1')",random_forest3,333.0958688259125,320.2320885658264,324.3229346871376,341.20211547613144,346.93069195747375,26.69860339164734,332.77281644940376,9.312816736113996,8
13,"('4m', 'false', '380', '2', '2g', '2', '7', '4g', 'snappy', '0.7', '0.3', 'true', '80m', '192', 'false', '112k', 'true', '70', '1')",random_forest4,329.6313508749008,312.34237003326416,321.5467237830162,333.89786982536316,355.98816323280334,43.645793199539185,329.8328169286251,12.60142387308692,8
14,"('24m', 'true', '180', '3', '3g', '5', '6', '4g', 'lz4', '0.7', '0.5', 'false', '88m', '160', 'true', '48k', 'true', '120', '1')",random_forest5,323.0892187356949,313.7881283760071,318.7497530579567,329.31279343366623,332.71345615386963,18.92532777786255,323.44609120488167,6.235111210629601,8
